Name,Category,Address,Neighborhood,Phone,Notes,Opening Hours
La Boqueria Market,Market,"La Rambla, 91, 08001 Barcelona",Ciutat Vella,+34 93 318 20 17,"Famous food market, not a 24h supermarket as originally listed","Mon-Sat 8:00-20:30, Sun closed"
A Deshora,24h Supermarket,"Carrer del Doctor Ferran, 22, 08034 Barcelona",Les Corts,,"24-hour convenience store",24 hours
Metzineres,Cooperative,"Carrer de Lluna, 3, 08001 Barcelona",El Raval,+34 936 398 589,"Non-profit cooperative for vulnerable women and gender-diverse people","Mon,Wed,Thu,Sat 14:00-21:00; Tue,Fri 18:00-21:00"
Bar Marsella,Historic Bar,"Carrer de Sant Pau, 65, 08001 Barcelona",El Raval,+34 934 42 72 63,"Barcelona's oldest bar (est. 1820), famous for absinthe, frequented by Picasso and Hemingway","Tue-Thu 17:00-00:00; Fri-Sat 17:00-01:30; Sun 17:00-00:00; Mon closed"
Tandem,Cocktail Bar,"Carrer d'Aribau, 86, 08036 Barcelona",Eixample,+34 934 514 330,"Classic cocktail bar with no menu, bartenders create custom drinks","Mon-Wed 12:30-23:00; Thu-Fri 12:30-02:30; Sat 12:00-15:00,18:30-02:30; Sun 12:00-15:00,18:30-23:00"
Hemingway Gin & Cocktail Bar,Cocktail Bar,"Carrer de Muntaner, 114, 08036 Barcelona",Eixample,+34 931 296 793,"Basement bar specializing in rare gins and whiskeys","Mon-Thu 18:30-02:00; Fri-Sat 17:00-03:00; Sun 17:00-02:00"
Les Gens que J'aime,Cocktail Bar,"Carrer de València, 286, 08007 Barcelona",Eixample,+34 932 156 879,"Vintage basement bar with red velvet seating, tarot readings available","Daily 18:00-02:30 (Fri-Sat until 03:00)"
Cobbler,Cocktail Bar,"Carrer de Casanova, 91, 08011 Barcelona",Eixample,,"Craft cocktail bar known for innovative drinks",
Xixbar Gins & Cocktails,Gin Bar,Address not found,Sant Antoni,,"First gin & tonics bar in Barcelona, laboratory for Crook Gin",
Paradiso,Speakeasy/Cocktail Bar,"Carrer de Rera Palau, 4, 08003 Barcelona",El Born,,,"World's #1 cocktail bar (2022), hidden behind fridge door in pastrami shop","Virtual queue system - scan QR at door"
Ølgod Brewpub,Craft Beer Bar,"Carrer de l'Hospital, 74, 08001 Barcelona",Ciutat Vella/Raval,,"Nordic craft beer bar with 20+ taps, microbrewery","Mon-Thu 15:00-02:30; Fri 15:00-03:00; Sat 12:00-03:00; Sun 12:00-02:30"
Collage Art & Cocktail Social Club,Cocktail Bar,"Carrer dels Consellers, 4, 08003 Barcelona",El Born,,"Art & cocktail bar with cocktail-making classes, intimate upstairs room",
Punch Room,Hotel Cocktail Bar,"Avinguda de Francesc Cambó, 14, Barcelona",Gothic Quarter/Sant Pere,,"Speakeasy-style bar at The Barcelona EDITION hotel",
Story,Cocktail Bar,Address not found,El Born,,"Casual cocktail bar with live music, unassuming and friendly",
Bar Sauvage,Cocktail Bar,Address not found,El Born/La Ribera,,"Quality cocktails with inventive flavors, authentic atmosphere",
Sub Rosa Cocktail Bar,Cocktail Bar,"Carrer d'en Rauric, 23, 08002 Barcelona",Gothic Quarter,,"Popular cocktail bar known for one-of-a-kind cocktails, quirky atmosphere",
Sor Rita Bar,Cocktail Bar,Address not found,Gothic Quarter,,"Unusual bar with funky decor, high-heel shoes on ceiling, leopard print",
The Mint,Cocktail Bar,"Passeig d'Isabel II, 4, 08003 Barcelona",Gothic Quarter/El Born,,"Trendy bar on edge of Gothic Quarter, known for strong cheap mojitos €4",
Zona d'Ombra,Wine Bar,"Carrer de Sant Domènec del Call, 12, 08002 Barcelona",Gothic Quarter,,"Wine bar specializing in local wines, Cava, and tapas pairings",
Farola,Cocktail Bar,"Carrer del Rec, 67, 08003 Barcelona",El Born,+34 663 332 643,"Mediterranean cocktails and aperitivos with all-day terrace, live music Tue & Sun","Daily 17:00-02:00"
Seven under,Cocktail Bar,Address not found,Eixample,,"Unable to locate specific address",
Don Bar,Cocktail Bar,Address not found,Eixample,,"Unable to locate specific address",
Kahiki,Cocktail Bar,Address not found,Eixample,,"Unable to locate specific address",
Mr White,Cocktail Bar,Address not found,Eixample,,"Unable to locate specific address",
Bitter,Cocktail Bar,Address not found,Eixample,,"Unable to locate specific address",
Ideal cocktail bar,Cocktail Bar,Address not found,Eixample,,"Unable to locate specific address",
Sugar Cocktail Bar,Cocktail Bar,Address not found,Gothic Quarter,,"Unable to locate specific address",
Nevermind,Bar,Address not found,Gothic Quarter,,"Mentioned as bar for skaters and metalheads",
On The Rocks Bar Crawl Barcelona,Bar Crawl,Address not found,Gothic Quarter,,"Bar crawl tour service, not a specific bar address",
